aoi,year,month,month_slot,system_index,acquisition_date,cloudy_pct_scene,source,no_usable_scene,notes
diriyah_gate,2022,9,2022-09,20220907T072631_20220907T073159_T38RPN,2022-09-07,0.000000,gee_pick,False,deterministic-pick across 6 candidates
diriyah_gate,2022,10,2022-10,20221012T072829_20221012T073143_T38RPN,2022-10-12,0.061781,gee_pick,False,deterministic-pick across 6 candidates
diriyah_gate,2022,11,2022-11,20221121T073129_20221121T073145_T38RPN,2022-11-21,0.008570,gee_pick,False,deterministic-pick across 6 candidates
diriyah_gate,2022,12,2022-12,20221211T073219_20221211T073217_T38RPN,2022-12-11,0.000000,cal_lock_sq1d,False,locked from sq1d_manifest among 1 cand
diriyah_gate,2023,1,2023-01,20230120T073129_20230120T073142_T38RPN,2023-01-20,0.000000,gee_pick,False,deterministic-pick across 6 candidates
diriyah_gate,2023,2,2023-02,20230224T072911_20230224T073144_T38RPN,2023-02-24,0.000000,gee_pick,False,deterministic-pick across 5 candidates
diriyah_gate,2023,3,2023-03,20230316T072641_20230316T073144_T38RPN,2023-03-16,0.000000,gee_pick,False,deterministic-pick across 7 candidates
diriyah_gate,2023,4,2023-04,20230430T072619_20230430T073149_T38RPN,2023-04-30,0.000000,gee_pick,False,deterministic-pick across 6 candidates
diriyah_gate,2023,5,2023-05,20230505T072621_20230505T073147_T38RPN,2023-05-05,0.000000,cal_lock_sq1d,False,locked from sq1d_manifest among 1 cand
diriyah_gate,2023,6,2023-06,20230624T072621_20230624T073150_T38RPN,2023-06-24,0.000000,gee_pick,False,deterministic-pick across 6 candidates
diriyah_gate,2023,7,2023-07,20230719T072619_20230719T073152_T38RPN,2023-07-19,0.025232,gee_pick,False,deterministic-pick across 6 candidates
diriyah_gate,2023,8,2023-08,20230818T072619_20230818T073626_T38RPN,2023-08-18,0.047060,gee_pick,False,deterministic-pick across 6 candidates
diriyah_gate,2023,9,2023-09,20230912T072621_20230912T073904_T38RPN,2023-09-12,0.071695,gee_pick,False,deterministic-pick across 6 candidates
diriyah_gate,2023,10,2023-10,20231002T072731_20231002T073145_T38RPN,2023-10-02,0.127654,gee_pick,False,deterministic-pick across 6 candidates
diriyah_gate,2023,11,2023-11,20231121T073211_20231121T073213_T38RPN,2023-11-21,1.555645,gee_pick,False,deterministic-pick across 6 candidates
diriyah_gate,2023,12,2023-12,20231201T073241_20231201T073244_T38RPN,2023-12-01,0.000000,gee_pick,False,deterministic-pick across 5 candidates
diriyah_gate,2024,1,2024-01,20240105T073219_20240105T073216_T38RPN,2024-01-05,0.504793,gee_pick,False,deterministic-pick across 5 candidates
diriyah_gate,2024,2,2024-02,20240229T072841_20240229T073147_T38RPN,2024-02-29,0.020664,gee_pick,False,deterministic-pick across 6 candidates
diriyah_gate,2024,3,2024-03,20240310T072721_20240310T073146_T38RPN,2024-03-10,0.000000,gee_pick,False,deterministic-pick across 6 candidates
diriyah_gate,2024,4,2024-04,20240404T072609_20240404T073144_T38RPN,2024-04-04,0.000000,gee_pick,False,deterministic-pick across 6 candidates
diriyah_gate,2024,5,2024-05,20240519T072621_20240519T073503_T38RPN,2024-05-19,0.000000,cal_lock_sq1c,False,locked from sq1c_manifest among 1 cand
diriyah_gate,2024,6,2024-06,20240623T072619_20240623T073149_T38RPN,2024-06-23,0.000000,gee_pick,False,deterministic-pick across 6 candidates
diriyah_gate,2024,7,2024-07,20240708T072621_20240708T073143_T38RPN,2024-07-08,0.020007,gee_pick,False,deterministic-pick across 6 candidates
diriyah_gate,2024,8,2024-08,20240802T072619_20240802T073147_T38RPN,2024-08-02,0.118726,cal_lock_sq1d,False,locked from sq1d_manifest among 1 cand
diriyah_gate,2024,9,2024-09,20240916T072611_20240916T073320_T38RPN,2024-09-16,0.107856,gee_pick,False,deterministic-pick across 6 candidates
diriyah_gate,2024,10,2024-10,20241001T072629_20241001T073146_T38RPN,2024-10-01,0.033922,gee_pick,False,deterministic-pick across 7 candidates
diriyah_gate,2024,11,2024-11,20241105T073101_20241105T073141_T38RPN,2024-11-05,0.000000,gee_pick,False,deterministic-pick across 6 candidates
diriyah_gate,2024,12,2024-12,20241225T073331_20241225T073325_T38RPN,2024-12-25,0.007465,gee_pick,False,deterministic-pick across 7 candidates
diriyah_gate,2025,1,2025-01,20250119T073129_20250119T073950_T38RPN,2025-01-19,0.000000,gee_pick,False,deterministic-pick across 6 candidates
diriyah_gate,2025,2,2025-02,20250208T072959_20250208T073146_T38RPN,2025-02-08,0.000000,cal_lock_sq1d,False,locked from sq1d_manifest among 1 cand
diriyah_gate,2025,3,2025-03,20250315T072711_20250315T073519_T38RPN,2025-03-15,0.000000,gee_pick,False,deterministic-pick across 7 candidates
diriyah_gate,2025,4,2025-04,20250424T072641_20250424T074135_T38RPN,2025-04-24,0.007226,cal_lock_sq1c,False,locked from sq1c_manifest among 1 cand
diriyah_gate,2025,5,2025-05,20250509T072619_20250509T074216_T38RPN,2025-05-09,0.000000,cal_lock_sq1c,False,locked from sq1c_manifest among 3 cand
diriyah_gate,2025,6,2025-06,20250605T073031_20250605T073443_T38RPN,2025-06-05,0.065604,gee_pick,False,deterministic-pick across 8 candidates
diriyah_gate,2025,7,2025-07,20250703T072641_20250703T073357_T38RPN,2025-07-03,0.039386,gee_pick,False,deterministic-pick across 7 candidates
diriyah_gate,2025,8,2025-08,20250804T073031_20250804T073952_T38RPN,2025-08-04,0.093852,cal_lock_sq1c,False,locked from sq1c_manifest among 1 cand
diriyah_gate,2025,9,2025-09,20250921T072631_20250921T073428_T38RPN,2025-09-21,0.057123,gee_pick,False,deterministic-pick across 6 candidates
diriyah_gate,2025,10,2025-10,20251011T072841_20251011T074011_T38RPN,2025-10-11,0.149601,gee_pick,False,deterministic-pick across 9 candidates
diriyah_gate,2025,11,2025-11,20251125T073139_20251125T073137_T38RPN,2025-11-25,0.089641,gee_pick,False,deterministic-pick across 7 candidates
diriyah_gate,2025,12,2025-12,20251230T073331_20251230T074157_T38RPN,2025-12-30,0.000000,gee_pick,False,deterministic-pick across 8 candidates
diriyah_gate,2026,1,2026-01,20260104T073219_20260104T074234_T38RPN,2026-01-04,0.000000,gee_pick,False,deterministic-pick across 7 candidates
diriyah_gate,2026,2,2026-02,20260213T072919_20260213T073923_T38RPN,2026-02-13,0.000000,gee_pick,False,deterministic-pick across 9 candidates
diriyah_gate,2026,3,2026-03,20260325T072609_20260325T073824_T38RPN,2026-03-25,0.000000,gee_pick,False,deterministic-pick across 9 candidates
diriyah_gate,2026,4,2026-04,20260414T072609_20260414T073249_T38RPN,2026-04-14,27.017648,gee_pick,False,deterministic-pick across 7 candidates
